Unnamed: 0,axis-0,axis-1,axis-2,R,G,B,label,labels
0,5.0,148.0,478.0,0.4137798578633206,0.1917566985290366,0.3944634436076426,TP,
1,18.0,131.0,472.0,0.3489101658549108,0.4092958399868176,0.2417939941582716,TP,
2,5.0,87.0,368.0,0.6827568566545896,0.1531622729458176,0.1640808703995927,TP,
3,7.0,144.0,360.0,0.6610680568804412,0.1946276382376957,0.1443043048818631,TP,
4,18.0,25.0,463.0,0.6125932962254165,0.21214684837683,0.1752598553977532,TP,
5,22.0,408.0,432.0,0.675258380226379,0.1619278102650017,0.1628138095086192,TP,
6,17.0,280.0,397.0,0.6328184308880496,0.1795953235970715,0.1875862455148788,TP,
7,18.0,167.0,368.0,0.5931577969603332,0.2125826123028177,0.194259590736849,TP,
8,11.0,374.0,469.0,0.3006167962329421,0.1413251721125328,0.558058031654525,TP,
9,8.0,221.0,468.0,0.1015792640590165,0.7494760661175851,0.1489446698233986,TP,
10,10.0,190.0,501.0,0.3496384605617011,0.4373591090484699,0.2130024303898288,TP,
11,17.0,402.0,466.0,0.593160282498305,0.2047493672298088,0.2020903502718861,TP,
12,21.0,221.0,482.0,0.061568766031061,0.1689572919161396,0.7694739420527994,TP,
13,21.0,248.0,451.0,0.6673894841419484,0.1594650522510116,0.1731454636070398,TP,
14,18.0,75.0,456.0,0.5636026964567683,0.2337972231828275,0.2026000803604042,TP,
15,12.0,422.0,423.0,0.6028790750465344,0.1990251047240968,0.1980958202293689,TP,
16,6.0,303.0,428.0,0.0852296345018513,0.1545566278272409,0.7602137376709075,TP,
17,13.0,288.0,431.0,0.6395562038832199,0.1611361122512256,0.1993076838655545,TP,
18,21.0,297.0,420.0,0.3945659372363801,0.4249418761798954,0.1804921865837242,TP,
19,10.0,364.0,368.0,0.5728932646456047,0.2078809191938598,0.2192258161605353,TP,
20,18.0,374.0,374.0,0.6506331760044042,0.1878731056528926,0.1614937183427031,TP,
21,9.0,88.0,410.0,0.6582423760232254,0.2051940298611888,0.1365635941155857,TP,
22,10.0,329.0,402.0,0.5930364292252034,0.1830432066485232,0.2239203641262732,TP,
23,5.0,271.0,415.0,0.2957036672614438,0.1599777266781078,0.5443186060604485,TP,
24,17.0,290.0,369.0,0.3451648009103603,0.1588658269502531,0.4959693721393864,TP,
25,8.0,284.0,479.0,0.1417198767104181,0.6211540707869837,0.237126052502598,TP,
26,17.0,182.0,462.0,0.361050531407336,0.440331663039142,0.198617805553522,TP,
27,11.0,315.0,482.0,0.2887386049943712,0.1763783173531268,0.5348830776525018,TP,
28,14.0,367.0,413.0,0.1161743128804988,0.1622488312605024,0.7215768558589986,TP,
29,14.0,249.0,381.0,0.3110356028262468,0.3805669146647354,0.3083974825090176,TP,
30,6.0,22.0,389.0,0.6560146273279862,0.1979664107103426,0.146018961961671,TP,
31,6.0,328.0,381.0,0.3791179810927466,0.4619799896775693,0.158902029229684,TP,
32,4.0,431.0,468.0,0.1759462613897105,0.1539459479436476,0.6701077906666417,TP,
